"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Bahrain","BHR","Net investment in nonfinancial assets (% of GDP)","GC.NFN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.59632796780684","3.42225038889209","3.9576802507837","3.5697846877717","3.49192684188751","2.47340194932263","2.31443151786739","2.47141111417036","2.85579114876779","3.09700755561388","2.04833062521331","2.73773389291745","4.56692832073466","3.53014652677649","2.08313837618797","3.97523583957227","6.16004829043246","5.5584249640168","5.99764773788725","4.41774099483233","7.81480297759974","4.37447642744917","","4.31700541158181","","","","","",
"Bahamas, The","BHS","Net investment in nonfinancial assets (% of GDP)","GC.NFN.TOTL.GD.ZS","","","","","","","","","","","","","","1.7141153674169","2.62492093611638","2.14693056021469","2.77215387011369","1.7671809256662","2.5708793849111","1.55290388200527","1.33303377518161","2.09603925692254","1.84375593993537","1.02146814404432","0.3772475625888","1.70207272383646","1.81193124368049","","1.7424323077469","2.0476812540823","0.988629185091598","0.819629977243215","0.939208748793824","1.39068564036223","1.42374961644676","1.5602216389618","1.66251039068994","1.83612428857488","1.08629606539816","1.17632130684147","1.10352666449575","1.06037271740346","1.06067225452531","0.764366539685618","1.07892734523135","0.983103230922511","1.36203004745629","1.47219810252827","1.62337070112103","1.39818232090692","1.51019834068956","1.92682551425209","1.96798656779068","2.17434792427265","2.2561671214624","2.31878429144442","1.94333040510863","","",
"Bosnia and Herzegovina","BIH","Net investment in nonfinancial assets (% of GDP)","GC.NFN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.24954468120981","1.45047484797864","1.81161412908427","1.78007587808928","2.09714784841999","1.56793369177542","2.09976358247651","2.22828595747732","3.39623003295822","3.75595375651849","1.47639811957758","1.81901078460407","","",
"Belarus","BLR","Net investment in nonfinancial assets (% of GDP)","GC.NFN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.21739130434783","5.23857868020304","5.25262743775642","3.93754684810095","4.6441547339175","5.69424529073413","4.14648492297351","3.55809064183705","3.27300794849898","2.43204527985466","0.819295822605143","2.24204480812147","2.34728295440452","3.30298722395804","3.27002283421853","3.1620235639678","2.56879136040459","2.11292598491252","1.52549106676808","0.944327816563329","1.33166136094827","1.29669436705714","1.04930456679491","0.830124191264557","0.808322047751951","","",
"Belize","BLZ","Net investment in nonfinancial assets (% of GDP)","GC.NFN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.9799777437375","14.1462929265162","13.5866822862266","10.6924386663946","8.55940903175737","5.88987590552075","5.86583259508581","4.32743069137946","5.1182708896157","7.56995374914183","9.66165866926612","12.9843004718874","10.3296133078284","6.48557986752581","6.36260210021218","3.36953949223063","4.08881851182826","3.74067480378698","4.60494971906661","2.81830488291233","3.79561085353758","4.96123441762833","4.3679679959658","6.64664874642834","7.14773555067815","","","","",
"Bermuda","BMU","Net investment in nonfinancial assets (% of GDP)","GC.NFN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Net investment in nonfinancial assets (% of GDP)","GC.NFN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","1.30130134077415","0.257755224383239","2.31178566470779","2.13015599768897","2.19061724250826","2.30763666226778","2.52884459102991","3.52754034726484","3.87641750851108","3.07491160327138","3.83065647818784","2.33479763862462","2.3621210103915","2.64493598173028","3.0942550767698","1.81346731727435","2.00839930626351","2.17144189206821","2.60505709976945","3.78089779402909","2.84501105707227","2.96138367826278","","","","","","","","","","","",
"Brazil","BRA","Net investment in nonfinancial assets (% of GDP)","GC.NFN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","1.61511832176004","1.22289274731164","1.38501311765481","","0.751116946892473","0.636516988672813","1.87884917814293","","","-1.48890054946585","-7.97784955439747","-4.12590892503309","-3.33205362171342","-4.27527861759756","-3.16207073410669","","","-0.301421338647202","-0.00208614072210842","-0.0186053750789166","-0.00932473642879461","-0.0137775502330312","-0.00895393618963323","0.302552775516354","0.502514516497454","0.611077299168127","0.697283629806395","0.792662347532707","0.897471611627116","1.01649865009845","0.765616930146949","0.494218494290766","0.466033556397212","0.547509183133412","0.562972894110127","0.367215116613365","0.321415318035786","","",
"Barbados","BRB","Net investment in nonfinancial assets (% of GDP)","GC.NFN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.80919736781837","4.63243558552791","2.23498319349293","1.25176760553095","5.73338906308524","1.2910737243831","0.819322659851115","0.646832369367977","0.478515394022614","0.617322269588841","0.98409762601626","0.91737872557423","0.901925645975808","","","",
"Brunei Darussalam","BRN","Net investment in nonfinancial assets (% of GDP)","GC.NFN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
